Quantify Compound Summary Report 

Printed Mon Mar 17 08:56:34 2025

Compound 1:  6-hydroxiflavone

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_FIA_001	mix_3	Standard	0.13	49.576	30.000	33.17
2	2	synapt_cvb_quat_FIA_002	mix_4	Standard			62.000	
3	3	synapt_cvb_quat_FIA_003	mix_5	Standard	0.13	80.600	125.000	111.18
4	4	synapt_cvb_quat_FIA_004	mix_6	Standard	0.13	142.767	250.000	267.49
5	5	synapt_cvb_quat_FIA_005	mix_7	Standard	0.13	207.104	500.000	429.27
6	6	synapt_cvb_quat_FIA_006	mix_8	Standard	0.13	349.617	750.000	787.61
7	7	synapt_cvb_quat_FIA_007	mix_9	Standard	0.13	444.536	1000.000	1026.28
8	8	synapt_cvb_quat_FIA_008	vial 1 quaternary	Analyte				
9	9	synapt_cvb_quat_FIA_009	vial 2 quaternary	Analyte				
10	10	synapt_cvb_quat_FIA_010	vial 3 quaternary	Analyte				
11	11	synapt_cvb_quat_FIA_011	vial 4 quaternary	Analyte				
12	12	synapt_cvb_quat_FIA_012	vial 5 quaternary	Analyte				
13	13	synapt_cvb_quat_FIA_013	vial 6 quaternary	Analyte				
14	14	synapt_cvb_quat_FIA_014	vial 7 quaternary	Analyte				
15	15	synapt_cvb_quat_FIA_015	vial 8 quaternary	Analyte				
16	16	synapt_cvb_quat_FIA_016	vial 9 quaternary	Analyte				
17	17	synapt_cvb_quat_FIA_017	vial 10 quaternary	Analyte				

Compound 2:  guayjaverin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_FIA_001	mix_3	Standard	0.13	34.226	30.000	16.50
2	2	synapt_cvb_quat_FIA_002	mix_4	Standard	0.12	65.418	62.000	58.22
3	3	synapt_cvb_quat_FIA_003	mix_5	Standard	0.13	149.561	125.000	170.77
4	4	synapt_cvb_quat_FIA_004	mix_6	Standard	0.13	243.610	250.000	296.57
