Quantify Compound Summary Report 

Printed Mon Mar 17 08:47:11 2025

Compound 1:  6-hydroxiflavone

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard	4.03	92.613	15.000	13.78
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	4.03	239.778	30.000	26.60
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	4.03	552.067	75.000	53.80
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	4.02	1367.667	125.000	124.84
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	4.03	3074.708	250.000	273.53
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	4.03	5682.255	500.000	500.65
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	4.05	8565.732	750.000	751.81
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte				
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte				
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte				
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte				
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte				
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte				
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte				
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 2:  guayjaverin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard			15.000	
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard			30.000	
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	1.98	170.870	75.000	54.95
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	1.98	520.075	125.000	96.31
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	1.98	1684.148	250.000	234.17
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	1.98	4072.199	500.000	517.01
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	2.00	6441.045	750.000	797.57
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte				
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte				
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte				
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte				
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte				
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte				
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte				
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 3:  wogonoside

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard			15.000	
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard			30.000	
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	3.11	113.568	75.000	55.18
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	3.10	347.216	125.000	98.88
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	3.10	1082.496	250.000	236.38
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	3.10	2458.072	500.000	493.63
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	3.12	4181.436	750.000	815.93
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte				
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte				
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte				
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte				
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte				
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte				
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte				
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 4:  orientin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard			15.000	
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard			30.000	
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	1.55	128.990	75.000	54.69
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	1.55	388.985	125.000	103.78
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	1.55	1100.225	250.000	238.07
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	1.55	2586.459	500.000	518.68
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	1.56	3995.865	750.000	784.78
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte				
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte				
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte				
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte				
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte				
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte				
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte				
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 5:  5,7 dihydroxichromone

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard	2.10	82.375	15.000	14.64
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	2.09	195.078	30.000	25.51
